show,season,episode,name,rating
The Simpsons,35,18,Bart's Brain,7.9
The Simpsons,36,1,Bart's Birthday,8
The Simpsons,36,2,The Yellow Lotus,7.6
The Simpsons,36,3,Desperately Seeking Lisa,7.1
The Simpsons,36,4,Shoddy Heat,7.8
The Simpsons,36,5,Treehouse of Horror XXXV,8
The Simpsons,36,6,Women in Shorts,7.3
The Simpsons,36,7,Treehouse of Horror Presents: Simpsons Wicked This Way Comes,8.4
The Simpsons,36,8,Convenience Airways,8.1
The Simpsons,36,9,Homer and Her Sisters,7.3
The Simpsons,36,10,The Man Who Flew Too Much,7.5
The Simpsons,36,11,Bottle Episode,8
The Simpsons,36,12,The Flandshees of Innersimpson,7.3
The Simpsons,36,13,The Last Man Expanding,7.6
The Simpsons,36,14,P.S. I Hate You,8.2
The Simpsons,36,15,Abe League of Their Moe,7.4
The Simpsons,36,16,Stew Lies,7.9
The Simpsons,36,17,"Full Heart, Empty Pool",7.6
The Simpsons,36,18,Estranger Things,8.4
The Simpsons,37,1,Thrifty Ways to Thieve Your Mother,7.7
The Simpsons,37,2,Keep Chalm and Gary On,7.8
The Simpsons,37,3,Treehouse of Horror XXXVI,7.1
The Simpsons,37,4,Men Behaving Manly,5.3
The Simpsons,37,5,Bad Boys... For Life?,7.8
The Simpsons,37,6,Bart 'N' Frink,8.2
The Simpsons,37,7,Sashes to Sashes,7.3
The Simpsons,37,8,The Day of the Jack-up,8
The Simpsons,37,9,Aunt Misbehavin',7.8
The Simpsons,37,10,Guess Who's Coming to Skinner,7.2
The Simpsons,37,11,Parahormonal Activity,8
The Simpsons,37,12,¡The Fall Guy-Yi-Yi!,7.3
The Simpsons,37,13,Seperance,8.5
The Simpsons,37,14,Irrational Treasure,8
The Simpsons,37,15,Homer? A Cracker Bro?,7.7
