show,season,episode,name,rating
Succession,4,6,Living+,8.2
Succession,4,7,Tailgate Party,8.1
Succession,4,8,America Decides,8.2
Succession,4,9,Church and State,8.3
Succession,4,10,With Open Eyes,8.7
The Simpsons,1,1,Simpsons Roasting on an Open Fire,7.8
The Simpsons,1,2,Bart the Genius,7.5
The Simpsons,1,3,Homer's Odyssey,7.7
The Simpsons,1,4,There's No Disgrace Like Home,8
The Simpsons,1,5,Bart the General,8.2
The Simpsons,1,6,Moaning Lisa,8.1
The Simpsons,1,7,The Call of the Simpsons,7.6
The Simpsons,1,8,The Telltale Head,7.5
The Simpsons,1,9,Life on the Fast Lane,7.6
The Simpsons,1,10,Homer's Night Out,8.4
The Simpsons,1,11,The Crepes of Wrath,8.4
The Simpsons,1,12,Krusty Gets Busted,8.4
The Simpsons,1,13,Some Enchanted Evening,8.4
The Simpsons,2,1,Bart Gets an F,7.9
The Simpsons,2,2,Simpson and Delilah,7.6
The Simpsons,2,3,Treehouse of Horror,7.9
The Simpsons,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,7.9
The Simpsons,2,5,Dancin' Homer,7.5
The Simpsons,2,6,Dead Putting Society,8.2
The Simpsons,2,7,Bart vs. Thanksgiving,7.7
The Simpsons,2,8,Bart the Daredevil,8.1
The Simpsons,2,9,Itchy & Scratchy & Marge,7.9
The Simpsons,2,10,Bart Gets Hit by a Car,8.1
The Simpsons,2,11,"One Fish, Two Fish, Blowfish, Blue Fish",9.1
The Simpsons,2,12,The Way We Was,8.2
The Simpsons,2,13,Homer vs. Lisa and the Eighth Commandment,8.4
The Simpsons,2,14,Principal Charming,7.8
The Simpsons,2,15,"Oh Brother, Where Art Thou?",8.7
The Simpsons,2,16,Bart's Dog Gets an F,8.5
The Simpsons,2,17,Old Money,8.5
The Simpsons,2,18,Brush with Greatness,8.1
The Simpsons,2,19,Lisa's Substitute,8.7
The Simpsons,2,20,The War of the Simpsons,8
The Simpsons,2,21,Three Men and a Comic Book,8.5
The Simpsons,2,22,Blood Feud,8.3
The Simpsons,3,1,Stark Raving Dad,8.7
The Simpsons,3,2,Mr. Lisa Goes to Washington,8.5
The Simpsons,3,3,When Flanders Failed,8.6
The Simpsons,3,4,Bart the Murderer,8.8
The Simpsons,3,5,Homer Defined,8.5
The Simpsons,3,6,Like Father Like Clown,8.1
The Simpsons,3,7,Treehouse of Horror II,8.4
The Simpsons,3,8,Lisa's Pony,8.3
The Simpsons,3,9,Saturdays of Thunder,8.4
The Simpsons,3,10,Flaming Moe's,8.8
The Simpsons,3,11,Burns Verkaufen der Kraftwerk,8.2
The Simpsons,3,12,I Married Marge,8.1
The Simpsons,3,13,Radio Bart,8.7
The Simpsons,3,14,Lisa the Greek,8.3
The Simpsons,3,15,Homer Alone,8.2
The Simpsons,3,16,Bart the Lover,8.5
The Simpsons,3,17,Homer at the Bat,8.7
The Simpsons,3,18,Separate Vocations,8.6
The Simpsons,3,19,Dog of Death,8.6
The Simpsons,3,20,Colonel Homer,8.8
The Simpsons,3,21,Black Widower,8.5
The Simpsons,3,22,The Otto Show,7.2
The Simpsons,3,23,Bart's Friend Falls in Love,8
The Simpsons,3,24,"Brother, Can You Spare Two Dimes?",8.8
The Simpsons,4,1,Kamp Krusty,8.5
The Simpsons,4,2,A Streetcar Named Marge,8.7
The Simpsons,4,3,Homer the Heretic,8.8
The Simpsons,4,4,Lisa the Beauty Queen,8
The Simpsons,4,5,Treehouse of Horror III,9
The Simpsons,4,6,Itchy & Scratchy: The Movie,8.8
The Simpsons,4,7,Marge Gets a Job,8.5
The Simpsons,4,8,The New Kid on the Block,8.5
The Simpsons,4,9,Mr. Plow,8.7
The Simpsons,4,10,Lisa's First Word,8.7
The Simpsons,4,11,Homer's Triple Bypass,8.6
The Simpsons,4,12,Marge vs. the Monorail,9
The Simpsons,4,13,Selma's Choice,8.2
The Simpsons,4,14,Brother from the Same Planet,7.9
The Simpsons,4,15,I Love Lisa,8.4
The Simpsons,4,16,Duffless,8.4
The Simpsons,4,17,Last Exit to Springfield,8.8
The Simpsons,4,18,So It's Come to This: A Simpsons Clip Show,7.1
The Simpsons,4,19,The Front,8.1
The Simpsons,4,20,Whacking Day,8.6
The Simpsons,4,21,Marge in Chains,8.2
